split_0_epoch,split_0_Acc gesture,split_0_Edit gesture,split_0_F1-macro gesture,split_0_F1@10 gesture,split_0_F1@25 gesture,split_0_F1@50 gesture,split_1_epoch,split_1_Acc gesture,split_1_Edit gesture,split_1_F1-macro gesture,split_1_F1@10 gesture,split_1_F1@25 gesture,split_1_F1@50 gesture,split_2_epoch,split_2_Acc gesture,split_2_Edit gesture,split_2_F1-macro gesture,split_2_F1@10 gesture,split_2_F1@25 gesture,split_2_F1@50 gesture,split_3_epoch,split_3_Acc gesture,split_3_Edit gesture,split_3_F1-macro gesture,split_3_F1@10 gesture,split_3_F1@25 gesture,split_3_F1@50 gesture,split_4_epoch,split_4_Acc gesture,split_4_Edit gesture,split_4_F1-macro gesture,split_4_F1@10 gesture,split_4_F1@25 gesture,split_4_F1@50 gesture
0,60.22349007091658,37.97758581962972,0.4280718521220539,43.72163388804841,33.43419062027232,19.818456883509832,0,60.39538432789336,40.53712767121769,0.372582783731977,37.63518385003605,26.820475847152125,17.01514059120404,0,52.187430247759956,37.391812451486786,0.36612652977301435,35.997220291869354,25.017373175816545,11.8137595552467,0,62.2789289710385,35.21044774297053,0.3713401466415114,39.85185185185185,29.037037037037035,18.962962962962962,0,60.32989189353489,33.47857998918471,0.4436480240538878,44.62474645030425,35.294117647058826,22.920892494929003
1,65.87167983181115,39.56027333183908,0.512727447755382,52.64727815063386,43.251304996271436,30.42505592841163,1,67.76893609069391,46.6791096549803,0.5400259453117804,59.26986399427344,47.816750178954905,29.92125984251969,1,64.2302541373043,36.4622722034453,0.46609595456471137,48.87272727272727,39.27272727272727,25.89090909090909,1,69.3419260826951,50.65825302655848,0.5567415874040046,60.78824315297261,52.104208416833664,31.93052772211089,1,69.00576500268492,57.760218823239626,0.5449334853163381,61.02564102564103,50.085470085470085,31.28205128205128
2,68.6161744654596,67.25812373190057,0.5615426123137102,69.1891891891892,62.702702702702695,37.2972972972973,2,70.13516880528218,44.141901064720976,0.5644574633649945,56.8081991215227,47.73060029282576,32.503660322108345,2,67.38464972417971,39.030080862178906,0.5184179675177244,51.231527093596064,42.08304011259676,30.964109781843767,2,70.71410604470427,53.677588353865374,0.5638253864397393,61.90777005685408,50.789639924194574,34.4914718888187,2,68.73220600006078,39.63661785629225,0.5338656525710207,53.02593659942363,41.690682036503354,29.586935638808836
3,70.00251369200417,64.22369631767711,0.5652882601909185,65.21739130434783,54.589371980676326,34.90338164251207,3,71.5141086333624,62.048435650027216,0.629885675748489,70.19354838709675,60.77419354838709,45.935483870967744,3,73.17049838971971,63.87753379901811,0.5918838856029031,68.84862653419053,62.88720046756282,43.717124488603154,3,73.28585926048001,73.70428389229868,0.6780943927539749,75.60975609756098,68.62527716186253,44.45676274944567,3,69.68358342029808,42.0580521110091,0.5532463619848876,55.014326647564474,45.27220630372493,31.709646609360075
4,70.34148125014282,48.91088907746345,0.5673537600278181,58.32747716092761,49.754040758959945,34.996486296556576,4,74.01660022424318,77.58641101561146,0.6998324829227388,79.0929203539823,71.3495575221239,50.77433628318584,4,70.03603201428525,62.60582061426304,0.5671516145567909,67.88021139166177,58.837345860246614,38.872577803875515,4,74.15236228326582,79.19370537116433,0.698361069733212,80.7235142118863,72.04134366925065,50.12919896640826,4,71.53669236770382,53.973717791609516,0.6298772143606933,63.29555361813426,54.75152571926765,41.15082824760244
5,73.86826730448428,72.8782328960691,0.613391715661739,75.69634079737848,70.45330420535227,47.40578918623702,5,75.97094182135294,78.86854585960326,0.7077069797142302,81.4498933901919,76.33262260127931,57.24946695095948,5,72.003443767737,78.96478100726748,0.6911279478854583,80.0,74.55012853470437,53.161953727506415,5,76.46477175148104,77.08893427993434,0.7094936441588415,80.62098501070663,75.16059957173447,51.71306209850106,5,76.7636956808073,81.01260761982876,0.711592344976871,81.73076923076923,74.86263736263736,55.494505494505496
6,76.60438296478546,76.26404836937357,0.6427020059447227,81.12894299944661,78.47260653016048,60.98505810736027,6,78.11993895602342,80.80992467927008,0.7393655277948151,83.88746803069054,79.59079283887468,62.60869565217391,6,71.34179394789707,69.41191906292838,0.6640729445447021,74.78361223312176,65.89728793998846,47.31679169070975,6,74.55742425688041,79.68914393894457,0.7057640443600159,80.8737346830048,74.58710708577517,54.44858817261588,6,78.61072553926584,82.00196686316774,0.7293667155388884,85.22571819425445,80.43775649794802,58.82352941176471
7,78.33578354826669,83.09414563743451,0.7452237470792755,85.81706063720452,82.01438848920863,63.61767728674204,7,80.28762302229974,83.85881018644963,0.7612292050083656,86.83796539066597,83.79653906659674,69.74305191400106,7,77.79327827556519,81.31459238644128,0.7478622040185812,84.00402414486922,80.98591549295774,65.79476861167002,7,77.64352811581129,80.79101196595954,0.7335279388121877,83.881230116649,76.98833510074232,56.20360551431601,7,80.44762358281238,83.817921419923,0.7510550210875993,88.01652892561982,84.43526170798897,65.56473829201103
8,79.77239661489477,76.68433798214512,0.6678393484826971,83.1672203765227,80.28792912513843,65.33776301218161,8,79.94970100909431,84.63065756375481,0.7631242092342799,87.40279937791603,85.32918610679108,68.7402799377916,8,78.6637862313064,82.17714029897839,0.7614707349332827,85.19637462235649,82.47734138972811,66.66666666666666,8,77.41714444319157,84.15757320573276,0.7312590692540798,84.65116279069768,77.9328165374677,56.64082687338501,8,80.95826705437744,86.75393435995719,0.7654283422584894,89.64088397790056,86.46408839779005,68.0939226519337
9,81.32174495928581,82.27486241205975,0.7302487168260156,85.91029023746701,82.532981530343,68.81266490765172,9,82.76208421577176,85.14711061763543,0.782866973055238,88.04573804573805,85.96673596673597,73.5966735966736,9,79.35811995790951,80.12329878733433,0.764775302955106,84.98964803312631,82.19461697722566,69.56521739130436,9,78.3781908388339,79.20561662661412,0.7321598985120555,83.27016783974011,76.98971304818625,56.63237682728749,9,80.05248280124418,84.77729427678057,0.7495127420668437,88.19444444444444,83.75,67.5
10,80.64304811815876,88.18555889739017,0.7831766103550412,90.51404345521993,87.22840487546371,66.56067832538422,10,82.07923259000871,87.33231981161356,0.7857246103505241,89.8840885142255,88.93572181243414,75.6585879873551,10,81.58461146009375,81.71465516527812,0.7665129960389594,85.82995951417003,83.50202429149796,71.65991902834008,10,78.83182555446652,82.56731886344895,0.7441378995916542,85.53392951078379,79.53708574434509,57.44345081536033,10,82.83062645011601,89.0951203239036,0.7843990328710188,91.35466303607897,87.13410483321987,69.97957794417971
11,82.50622710064671,87.45484849826705,0.7961874343684636,90.40667361835246,87.69551616266945,74.24400417101148,11,82.90690793571696,88.05965826539793,0.7961632640726081,91.06382978723404,88.51063829787235,78.29787234042553,11,82.49577500717452,81.54030373373948,0.8057488372234008,87.19262295081967,85.86065573770492,76.02459016393442,11,79.93338595380385,82.55617130733981,0.7506060243870395,86.03896103896103,80.1948051948052,58.98268398268398,11,83.62192119474362,88.24559780223096,0.793383320717829,90.93406593406593,86.95054945054945,70.05494505494505
12,81.90141756994538,88.56119660481353,0.7962970422519722,91.0432033719705,88.19810326659642,72.6027397260274,12,81.41195340725054,88.4223155895598,0.7739337115594626,90.57815845824412,88.75802997858673,76.76659528907923,12,79.99186888173209,82.29818691767302,0.7829464119965964,87.60925449871465,85.34704370179949,73.2133676092545,12,79.84491417369959,84.11347295303571,0.7547215276963506,86.46934460887951,80.76109936575054,60.465116279069775,12,81.71815317277785,85.77819214596276,0.775285701763717,88.58695652173914,85.46195652173914,67.11956521739131
13,82.92593749285884,88.02926930729069,0.7956267545166579,90.70866141732283,87.55905511811024,72.96587926509187,13,83.98218512520245,88.37814325573375,0.8064776137128957,91.35021097046415,89.87341772151898,79.43037974683546,13,80.15449124709033,84.59136271780201,0.7831707255371699,87.65493306891423,85.57263262270698,72.48388696083292,13,80.48590089425888,81.9761003546044,0.7489368401154556,86.10354223433244,80.21798365122618,60.05449591280655,13,82.86203507634322,89.40171299589181,0.788649434608399,91.61554192229039,87.52556237218813,70.2113156100886
14,77.73097401756537,86.66778873453727,0.7561971965820256,90.50104384133611,87.99582463465553,71.29436325678495,14,83.82101034010215,87.25369627409327,0.8049131378141353,90.40084388185655,89.24050632911393,79.11392405063292,14,82.49657217563215,83.96571609708566,0.8058765974877168,86.80555555555556,85.21825396825396,74.30555555555556,14,80.43646078184767,81.34890871280916,0.760609085549869,85.8689767190038,80.3465078505685,59.01461829994585,14,83.4121926260651,87.2848686368539,0.7893249171798039,90.00679809653298,85.52005438477227,70.56424201223656
