split_0_epoch,split_0_train loss,split_0_train acc,split_1_epoch,split_1_train loss,split_1_train acc,split_2_epoch,split_2_train loss,split_2_train acc,split_3_epoch,split_3_train loss,split_3_train acc,split_4_epoch,split_4_train loss,split_4_train acc
0,4.4204180303372835,tensor(0.4744),0,4.41655191935991,tensor(0.4379),0,4.029844983627922,tensor(0.4423),0,4.073005939784803,tensor(0.4489),0,4.287631678581238,tensor(0.4476)
1,4.1917013369108505,tensor(0.6376),1,4.210045877255891,tensor(0.6464),1,4.112631054301011,tensor(0.6418),1,3.8770833956567863,tensor(0.6451),1,4.133756017684936,tensor(0.6580)
2,4.089562431762093,tensor(0.6660),2,4.2605327430524325,tensor(0.6715),2,3.8579569239365425,tensor(0.6695),2,3.7071153929359033,tensor(0.6998),2,4.288962388038636,tensor(0.6812)
3,4.353366776516563,tensor(0.6871),3,4.243170631559272,tensor(0.6824),3,3.990839211564315,tensor(0.6952),3,4.1022935290085645,tensor(0.7424),3,4.440396010875702,tensor(0.6965)
4,4.039110610359593,tensor(0.7039),4,4.11845860983196,tensor(0.7080),4,4.35487669392636,tensor(0.7007),4,4.00469013891722,tensor(0.7653),4,4.020574200153351,tensor(0.7040)
5,4.469773148235522,tensor(0.7172),5,4.083683399777663,tensor(0.7416),5,4.011103877895756,tensor(0.7335),5,4.062012750851481,tensor(0.7834),5,4.289736211299896,tensor(0.7302)
6,4.190234275240647,tensor(0.7415),6,4.023918427919087,tensor(0.7502),6,4.1469841913173076,tensor(0.7527),6,4.117191462140334,tensor(0.8012),6,4.438724136352539,tensor(0.7621)
7,4.071924037054965,tensor(0.7711),7,4.179387955289138,tensor(0.7800),7,4.230075067595432,tensor(0.7652),7,4.077499399059697,tensor(0.8040),7,4.555982184410095,tensor(0.7921)
8,4.134382257336064,tensor(0.7947),8,4.278994754741066,tensor(0.7865),8,4.1448647442616915,tensor(0.7951),8,3.8753683755272315,tensor(0.8122),8,4.4514075756073,tensor(0.8086)
9,4.388307053791849,tensor(0.8105),9,4.274091068067048,tensor(0.8010),9,4.13457758489408,tensor(0.8018),9,4.099042274450001,tensor(0.8306),9,4.1625654101371765,tensor(0.8207)
10,4.150962603719611,tensor(0.8159),10,4.058083901279851,tensor(0.8126),10,4.02276486158371,tensor(0.8083),10,4.058600620219582,tensor(0.8309),10,4.2044250011444095,tensor(0.8219)
11,4.303893528486553,tensor(0.8256),11,4.275675817539818,tensor(0.8169),11,4.143789595679233,tensor(0.8248),11,3.868643914398394,tensor(0.8442),11,4.421073603630066,tensor(0.8367)
12,4.077258122594733,tensor(0.8337),12,4.073681762343959,tensor(0.8123),12,4.0804124254929395,tensor(0.8204),12,3.8638816820947746,tensor(0.8504),12,4.260442042350769,tensor(0.8324)
13,4.408250538926375,tensor(0.8437),13,4.2014019991222185,tensor(0.8225),13,4.2128296400371354,tensor(0.8093),13,3.888247947943838,tensor(0.8568),13,4.094919514656067,tensor(0.8337)
